ghi,air_temp,period_end,period
47,19,2025-07-07 18:15:00+00:00,PT15M
32,19,2025-07-07 18:30:00+00:00,PT15M
18,18,2025-07-07 18:45:00+00:00,PT15M
6,18,2025-07-07 19:00:00+00:00,PT15M
0,18,2025-07-07 19:15:00+00:00,PT15M
0,17,2025-07-07 19:30:00+00:00,PT15M
0,17,2025-07-07 19:45:00+00:00,PT15M
0,17,2025-07-07 20:00:00+00:00,PT15M
0,17,2025-07-07 20:15:00+00:00,PT15M
0,16,2025-07-07 20:30:00+00:00,PT15M
0,16,2025-07-07 20:45:00+00:00,PT15M
0,16,2025-07-07 21:00:00+00:00,PT15M
0,16,2025-07-07 21:15:00+00:00,PT15M
0,16,2025-07-07 21:30:00+00:00,PT15M
0,16,2025-07-07 21:45:00+00:00,PT15M
0,16,2025-07-07 22:00:00+00:00,PT15M
0,15,2025-07-07 22:15:00+00:00,PT15M
0,15,2025-07-07 22:30:00+00:00,PT15M
0,15,2025-07-07 22:45:00+00:00,PT15M
0,15,2025-07-07 23:00:00+00:00,PT15M
0,15,2025-07-07 23:15:00+00:00,PT15M
0,15,2025-07-07 23:30:00+00:00,PT15M
0,15,2025-07-07 23:45:00+00:00,PT15M
0,15,2025-07-08 00:00:00+00:00,PT15M
0,15,2025-07-08 00:15:00+00:00,PT15M
0,15,2025-07-08 00:30:00+00:00,PT15M
0,15,2025-07-08 00:45:00+00:00,PT15M
0,15,2025-07-08 01:00:00+00:00,PT15M
0,14,2025-07-08 01:15:00+00:00,PT15M
0,14,2025-07-08 01:30:00+00:00,PT15M
0,14,2025-07-08 01:45:00+00:00,PT15M
0,14,2025-07-08 02:00:00+00:00,PT15M
0,14,2025-07-08 02:15:00+00:00,PT15M
0,14,2025-07-08 02:30:00+00:00,PT15M
0,14,2025-07-08 02:45:00+00:00,PT15M
1,14,2025-07-08 03:00:00+00:00,PT15M
5,14,2025-07-08 03:15:00+00:00,PT15M
11,14,2025-07-08 03:30:00+00:00,PT15M
18,14,2025-07-08 03:45:00+00:00,PT15M
27,14,2025-07-08 04:00:00+00:00,PT15M
37,14,2025-07-08 04:15:00+00:00,PT15M
48,15,2025-07-08 04:30:00+00:00,PT15M
59,15,2025-07-08 04:45:00+00:00,PT15M
68,15,2025-07-08 05:00:00+00:00,PT15M
77,15,2025-07-08 05:15:00+00:00,PT15M
89,15,2025-07-08 05:30:00+00:00,PT15M
101,15,2025-07-08 05:45:00+00:00,PT15M
112,15,2025-07-08 06:00:00+00:00,PT15M
123,15,2025-07-08 06:15:00+00:00,PT15M
135,15,2025-07-08 06:30:00+00:00,PT15M
147,15,2025-07-08 06:45:00+00:00,PT15M
159,15,2025-07-08 07:00:00+00:00,PT15M
167,15,2025-07-08 07:15:00+00:00,PT15M
173,15,2025-07-08 07:30:00+00:00,PT15M
178,14,2025-07-08 07:45:00+00:00,PT15M
182,14,2025-07-08 08:00:00+00:00,PT15M
185,14,2025-07-08 08:15:00+00:00,PT15M
189,14,2025-07-08 08:30:00+00:00,PT15M
191,14,2025-07-08 08:45:00+00:00,PT15M
192,14,2025-07-08 09:00:00+00:00,PT15M
194,14,2025-07-08 09:15:00+00:00,PT15M
197,14,2025-07-08 09:30:00+00:00,PT15M
199,14,2025-07-08 09:45:00+00:00,PT15M
201,14,2025-07-08 10:00:00+00:00,PT15M
203,14,2025-07-08 10:15:00+00:00,PT15M
205,14,2025-07-08 10:30:00+00:00,PT15M
206,14,2025-07-08 10:45:00+00:00,PT15M
206,14,2025-07-08 11:00:00+00:00,PT15M
206,14,2025-07-08 11:15:00+00:00,PT15M
205,15,2025-07-08 11:30:00+00:00,PT15M
204,15,2025-07-08 11:45:00+00:00,PT15M
201,15,2025-07-08 12:00:00+00:00,PT15M
199,16,2025-07-08 12:15:00+00:00,PT15M
195,16,2025-07-08 12:30:00+00:00,PT15M
192,16,2025-07-08 12:45:00+00:00,PT15M
187,17,2025-07-08 13:00:00+00:00,PT15M
183,17,2025-07-08 13:15:00+00:00,PT15M
181,17,2025-07-08 13:30:00+00:00,PT15M
178,18,2025-07-08 13:45:00+00:00,PT15M
174,18,2025-07-08 14:00:00+00:00,PT15M
169,18,2025-07-08 14:15:00+00:00,PT15M
162,18,2025-07-08 14:30:00+00:00,PT15M
155,18,2025-07-08 14:45:00+00:00,PT15M
147,18,2025-07-08 15:00:00+00:00,PT15M
145,18,2025-07-08 15:15:00+00:00,PT15M
147,18,2025-07-08 15:30:00+00:00,PT15M
146,18,2025-07-08 15:45:00+00:00,PT15M
143,17,2025-07-08 16:00:00+00:00,PT15M
131,17,2025-07-08 16:15:00+00:00,PT15M
112,17,2025-07-08 16:30:00+00:00,PT15M
93,17,2025-07-08 16:45:00+00:00,PT15M
76,17,2025-07-08 17:00:00+00:00,PT15M
61,17,2025-07-08 17:15:00+00:00,PT15M
45,17,2025-07-08 17:30:00+00:00,PT15M
31,17,2025-07-08 17:45:00+00:00,PT15M
20,17,2025-07-08 18:00:00+00:00,PT15M
13,17,2025-07-08 18:15:00+00:00,PT15M
9,16,2025-07-08 18:30:00+00:00,PT15M
6,16,2025-07-08 18:45:00+00:00,PT15M
2,16,2025-07-08 19:00:00+00:00,PT15M
0,16,2025-07-08 19:15:00+00:00,PT15M
0,16,2025-07-08 19:30:00+00:00,PT15M
0,16,2025-07-08 19:45:00+00:00,PT15M
0,16,2025-07-08 20:00:00+00:00,PT15M
0,16,2025-07-08 20:15:00+00:00,PT15M
0,16,2025-07-08 20:30:00+00:00,PT15M
0,16,2025-07-08 20:45:00+00:00,PT15M
0,16,2025-07-08 21:00:00+00:00,PT15M
0,16,2025-07-08 21:15:00+00:00,PT15M
0,16,2025-07-08 21:30:00+00:00,PT15M
0,16,2025-07-08 21:45:00+00:00,PT15M
0,15,2025-07-08 22:00:00+00:00,PT15M
0,15,2025-07-08 22:15:00+00:00,PT15M
0,15,2025-07-08 22:30:00+00:00,PT15M
0,15,2025-07-08 22:45:00+00:00,PT15M
0,15,2025-07-08 23:00:00+00:00,PT15M
0,15,2025-07-08 23:15:00+00:00,PT15M
0,15,2025-07-08 23:30:00+00:00,PT15M
0,15,2025-07-08 23:45:00+00:00,PT15M
0,15,2025-07-09 00:00:00+00:00,PT15M
0,15,2025-07-09 00:15:00+00:00,PT15M
0,15,2025-07-09 00:30:00+00:00,PT15M
0,14,2025-07-09 00:45:00+00:00,PT15M
0,14,2025-07-09 01:00:00+00:00,PT15M
0,14,2025-07-09 01:15:00+00:00,PT15M
0,14,2025-07-09 01:30:00+00:00,PT15M
0,14,2025-07-09 01:45:00+00:00,PT15M
0,14,2025-07-09 02:00:00+00:00,PT15M
0,14,2025-07-09 02:15:00+00:00,PT15M
0,14,2025-07-09 02:30:00+00:00,PT15M
0,14,2025-07-09 02:45:00+00:00,PT15M
0,14,2025-07-09 03:00:00+00:00,PT15M
4,14,2025-07-09 03:15:00+00:00,PT15M
9,14,2025-07-09 03:30:00+00:00,PT15M
16,14,2025-07-09 03:45:00+00:00,PT15M
25,14,2025-07-09 04:00:00+00:00,PT15M
36,14,2025-07-09 04:15:00+00:00,PT15M
46,14,2025-07-09 04:30:00+00:00,PT15M
58,14,2025-07-09 04:45:00+00:00,PT15M
67,14,2025-07-09 05:00:00+00:00,PT15M
76,14,2025-07-09 05:15:00+00:00,PT15M
87,15,2025-07-09 05:30:00+00:00,PT15M
99,15,2025-07-09 05:45:00+00:00,PT15M
109,15,2025-07-09 06:00:00+00:00,PT15M
120,15,2025-07-09 06:15:00+00:00,PT15M
133,16,2025-07-09 06:30:00+00:00,PT15M
146,16,2025-07-09 06:45:00+00:00,PT15M
159,16,2025-07-09 07:00:00+00:00,PT15M
171,16,2025-07-09 07:15:00+00:00,PT15M
182,17,2025-07-09 07:30:00+00:00,PT15M
194,17,2025-07-09 07:45:00+00:00,PT15M
205,17,2025-07-09 08:00:00+00:00,PT15M
212,17,2025-07-09 08:15:00+00:00,PT15M
214,18,2025-07-09 08:30:00+00:00,PT15M
214,18,2025-07-09 08:45:00+00:00,PT15M
214,18,2025-07-09 09:00:00+00:00,PT15M
221,18,2025-07-09 09:15:00+00:00,PT15M
234,19,2025-07-09 09:30:00+00:00,PT15M
247,19,2025-07-09 09:45:00+00:00,PT15M
260,19,2025-07-09 10:00:00+00:00,PT15M
268,19,2025-07-09 10:15:00+00:00,PT15M
270,19,2025-07-09 10:30:00+00:00,PT15M
272,19,2025-07-09 10:45:00+00:00,PT15M
272,19,2025-07-09 11:00:00+00:00,PT15M
272,18,2025-07-09 11:15:00+00:00,PT15M
271,18,2025-07-09 11:30:00+00:00,PT15M
269,18,2025-07-09 11:45:00+00:00,PT15M
266,18,2025-07-09 12:00:00+00:00,PT15M
266,18,2025-07-09 12:15:00+00:00,PT15M
268,18,2025-07-09 12:30:00+00:00,PT15M
268,18,2025-07-09 12:45:00+00:00,PT15M
267,18,2025-07-09 13:00:00+00:00,PT15M
265,18,2025-07-09 13:15:00+00:00,PT15M
261,19,2025-07-09 13:30:00+00:00,PT15M
257,19,2025-07-09 13:45:00+00:00,PT15M
251,19,2025-07-09 14:00:00+00:00,PT15M
245,20,2025-07-09 14:15:00+00:00,PT15M
238,20,2025-07-09 14:30:00+00:00,PT15M
229,20,2025-07-09 14:45:00+00:00,PT15M
220,20,2025-07-09 15:00:00+00:00,PT15M
207,20,2025-07-09 15:15:00+00:00,PT15M
189,19,2025-07-09 15:30:00+00:00,PT15M
171,18,2025-07-09 15:45:00+00:00,PT15M
154,17,2025-07-09 16:00:00+00:00,PT15M
136,17,2025-07-09 16:15:00+00:00,PT15M
116,16,2025-07-09 16:30:00+00:00,PT15M
98,16,2025-07-09 16:45:00+00:00,PT15M
80,15,2025-07-09 17:00:00+00:00,PT15M
65,15,2025-07-09 17:15:00+00:00,PT15M
50,15,2025-07-09 17:30:00+00:00,PT15M
36,15,2025-07-09 17:45:00+00:00,PT15M
24,15,2025-07-09 18:00:00+00:00,PT15M
